,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
IN,7758,6344,3862,60.90%,3989,3187,557,25,1301,4210,3461,87,3989,3102,1454,46.90%,396,268,585,1973,1943,73,,3187,3187,2660,1826,68.60%,585,1813,1360,14,557,557,557,557,100.00%,131,424,133,0,25,25,25,25,100.00%,25,0,2804,2804,2786,2024,72.60%,698,346,1043,1761,0
KS,3120,2438,1549,63.50%,1792,1308,0,20,439,1542,1578,0,1792,1281,827,64.60%,109,56,203,786,1006,0,,1308,1308,1137,702,61.70%,236,756,552,0,0,0,0,0,0.00%,0,0,0,0,20,20,20,20,100.00%,20,0,1216,1216,1216,878,72.20%,443,130,307,909,0
KY,4970,4248,3133,73.80%,2410,2371,179,10,732,2061,2864,45,2410,1956,1250,63.90%,60,191,308,884,1489,37,,2371,2371,2111,1702,80.60%,387,1058,1305,8,179,179,171,171,100.00%,37,119,60,0,10,10,10,10,100.00%,10,0,3025,3025,2789,2205,79.10%,443,482,1336,1689,0
LA,4662,4092,3191,78.00%,2053,2530,47,32,608,1970,2668,24,2053,1654,1234,74.60%,61,163,216,784,1258,11,,2530,2530,2359,1878,79.60%,382,1159,1358,13,47,47,47,47,100.00%,10,27,20,0,32,32,32,32,100.00%,32,0,4732,4732,4646,3435,73.90%,1503,839,1656,3076,0
MA,18047,16970,15217,89.70%,10439,4557,2992,59,4343,12494,5523,30,10439,9971,8963,89.90%,325,4062,2414,7622,2795,22,,4557,4557,3948,3204,81.20%,706,1923,2626,8,2992,2992,2992,2992,100.00%,1223,2949,43,0,59,59,59,58,98.30%,59,0,11753,11753,11674,8126,69.60%,4291,1255,3397,8356,0
MD,6080,5571,4547,81.60%,2856,3063,56,105,794,2903,3165,12,2856,2462,2103,85.40%,957,784,310,1338,1506,12,,3063,3063,2963,2298,77.60%,469,1513,1550,0,56,56,41,41,100.00%,15,52,4,0,105,105,105,105,100.00%,105,0,7223,7223,7223,5767,79.80%,741,1248,3684,3539,0
ME,3243,2865,2682,93.60%,1198,2030,0,15,682,1944,1250,49,1198,1021,895,87.70%,0,132,178,534,622,42,,2030,2030,1829,1772,96.90%,504,1410,613,7,0,0,0,0,0.00%,0,0,0,0,15,15,15,15,100.00%,15,0,2204,2204,2174,2130,98.00%,180,410,1066,1138,0
MI,11385,9327,8281,88.80%,5567,5380,395,43,1709,5447,5761,177,5567,4294,3947,91.90%,676,354,644,2241,3192,134,,5380,5380,4650,4108,88.30%,974,2980,2357,43,395,395,340,183,53.80%,91,226,169,0,43,43,43,43,100.00%,43,0,7872,7872,7782,6581,84.60%,1404,1313,3625,4247,0
MN,7126,6288,4819,76.60%,3680,3306,130,10,1565,4477,2608,41,3680,2995,2280,76.10%,183,455,666,2056,1602,22,,3306,3306,3153,2409,76.40%,876,2351,936,19,130,130,130,130,100.00%,23,70,60,0,10,10,10,0,0.00%,10,0,10135,10135,10084,7660,76.00%,3335,1743,5067,5049,19
MO,7761,5886,4128,70.10%,4026,3611,70,54,1347,3734,3849,178,4026,2570,1705,66.30%,209,432,649,1774,2135,117,,3611,3611,3192,2317,72.60%,678,1908,1648,55,70,70,70,70,100.00%,20,52,12,6,54,54,54,36,66.70%,54,0,5239,5239,5222,4590,87.90%,707,1103,2732,2502,5
MS,1823,1427,1037,72.70%,878,881,64,0,229,900,740,183,878,530,443,83.60%,50,36,123,467,348,63,,881,881,833,530,63.60%,96,406,355,120,64,64,64,64,100.00%,10,27,37,0,0,0,0,0,0.00%,0,0,511,511,511,486,95.10%,65,28,112,399,0
MT,1493,1216,479,39.40%,777,675,41,0,290,799,690,4,777,598,143,23.90%,30,117,116,374,399,4,,675,675,577,295,51.10%,163,397,278,0,41,41,41,41,100.00%,11,28,13,0,0,0,0,0,0.00%,0,0,624,624,624,209,33.50%,84,102,294,330,0
NC,10834,9449,7458,78.90%,5964,4148,722,0,1580,4644,6133,57,5964,4796,3968,82.70%,647,223,650,2054,3859,51,,4148,4148,3931,2793,71.10%,689,2007,2135,6,722,722,722,697,96.50%,241,583,139,0,0,0,0,0,0.00%,0,0,5368,5368,5361,4169,77.80%,1554,894,2483,2885,0
ND,729,566,511,90.30%,575,154,0,0,95,294,435,0,575,475,420,88.40%,0,44,72,202,373,0,,154,154,91,91,100.00%,23,92,62,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,570,570,570,497,87.20%,100,70,185,385,0
NE,3728,3189,2795,87.60%,1705,1826,197,0,544,1853,1793,82,1705,1386,1221,88.10%,0,208,167,711,946,48,,1826,1826,1606,1377,85.70%,328,983,809,34,197,197,197,197,100.00%,49,159,38,0,0,0,0,0,0.00%,0,0,1044,1044,1044,626,60.00%,261,146,431,613,0
NH,1410,1247,1141,91.50%,681,643,77,9,278,775,632,3,681,548,515,94.00%,118,19,101,297,381,3,,643,643,613,540,88.10%,166,453,190,0,77,77,77,77,100.00%,11,25,52,0,9,9,9,9,100.00%,9,0,993,993,993,708,71.30%,207,181,509,484,0
NJ,8285,7355,6927,94.20%,4940,2942,383,20,1447,4261,3935,89,4940,4430,4106,92.70%,110,4377,746,2253,2655,32,,2942,2942,2522,2418,95.90%,633,1806,1079,57,383,383,383,383,100.00%,68,202,181,0,20,20,20,20,100.00%,20,0,4880,4880,4837,3758,77.70%,1277,560,1463,3417,0
NM,2592,1826,942,51.60%,1397,1016,179,0,390,1491,1049,52,1397,904,245,27.10%,510,116,112,667,678,52,,1016,1016,743,546,73.50%,225,678,338,0,179,179,179,151,84.40%,53,146,33,0,0,0,0,0,0.00%,0,0,1536,1536,1536,918,59.80%,504,279,639,897,0
NV,3929,3617,3184,88.00%,2427,1477,0,25,401,1038,2819,72,2427,2178,1957,89.90%,347,291,206,654,1749,24,,1477,1477,1414,1202,85.00%,195,384,1045,48,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,2598,2598,2598,1423,54.80%,826,277,731,1867,0
NY,75992,71036,63145,88.90%,63065,12517,230,180,14575,48810,26970,212,63065,59962,53194,88.70%,323,2172,12630,42856,20070,139,,12517,12517,10673,9568,89.60%,1899,5812,6635,70,230,230,230,212,92.20%,46,142,85,3,180,180,171,171,100.00%,180,0,32282,32282,31834,20803,65.30%,10050,3636,10234,22048,0
OH,13301,11956,10481,87.70%,6271,4999,1933,98,2211,6642,6551,108,6271,5330,4310,80.90%,625,535,785,2422,3751,98,,4999,4999,4637,4182,90.20%,902,2623,2366,10,1933,1933,1891,1891,100.00%,524,1597,336,0,98,98,98,98,100.00%,98,0,12863,12863,12863,11264,87.60%,3171,1822,4889,7974,0
OK,4211,3451,2430,70.40%,3003,1109,49,50,532,1671,2348,192,3003,2382,1636,68.70%,24,195,319,1032,1805,166,,1109,1109,978,703,71.90%,202,609,477,23,49,49,41,41,100.00%,11,30,16,3,50,50,50,50,100.00%,50,0,1112,1112,1073,715,66.60%,332,108,292,820,0
OR,7922,7030,4526,64.40%,3156,4208,543,15,1379,4033,3759,130,3156,2733,1034,37.80%,284,456,398,1194,1875,87,,4208,4208,3933,3131,79.60%,813,2413,1752,43,543,543,349,346,99.10%,168,426,117,0,15,15,15,15,100.00%,15,0,5747,5747,5682,3869,68.10%,1567,639,1944,3800,3
PA,16370,14507,12396,85.40%,7793,7565,758,254,2954,9142,7160,68,7793,6674,5389,80.70%,921,261,1077,3570,4164,59,,7565,7565,6821,6040,88.60%,1671,4929,2627,9,758,758,758,758,100.00%,206,643,115,0,254,254,254,209,82.30%,254,0,12304,12304,12228,10268,84.00%,2594,2083,6330,5974,0
PR,2003,1590,1511,95.00%,481,1396,39,87,138,588,1415,0,481,353,353,100.00%,0,0,16,113,368,0,,1396,1396,1114,1071,96.10%,114,449,947,0,39,39,36,0,0.00%,8,26,13,0,87,87,87,87,100.00%,87,0,1740,1740,1686,1632,96.80%,532,210,597,1143,0
RI,1181,1076,1012,94.10%,699,465,0,17,215,571,610,0,699,625,585,93.60%,47,67,109,273,426,0,,465,465,434,410,94.50%,106,298,167,0,0,0,0,0,0.00%,0,0,0,0,17,17,17,17,100.00%,17,0,1615,1615,1611,1417,88.00%,324,284,746,869,0
SC,4149,3691,3105,84.10%,1717,2155,265,12,489,1756,2386,7,1717,1323,1146,86.60%,375,161,116,649,1068,0,,2155,2155,2119,1730,81.60%,309,928,1220,7,265,265,237,217,91.60%,64,179,86,0,12,12,12,12,100.00%,12,0,1958,1958,1857,1507,81.20%,257,328,849,1109,0
SD,1588,1146,433,37.80%,980,608,0,0,256,763,727,98,980,538,204,37.90%,70,85,205,596,346,38,,608,608,608,229,37.70%,51,167,381,60,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,614,614,614,434,70.70%,139,71,247,367,0
TN,6979,6236,3556,57.00%,3340,3596,19,24,846,2402,4535,42,3340,2793,1397,50.00%,559,259,385,1105,2198,37,,3596,3596,3400,2120,62.40%,459,1291,2300,5,19,19,19,15,78.90%,2,6,13,0,24,24,24,24,100.00%,24,0,4358,4358,4197,2894,69.00%,1330,863,1981,2373,4
TX,22582,18024,11412,63.30%,13088,9011,325,158,3183,10558,11780,244,13088,10189,5546,54.40%,133,890,1388,4941,7947,200,,9011,9011,7432,5568,74.90%,1731,5409,3558,44,325,325,245,148,60.40%,64,208,117,0,158,158,158,150,94.90%,158,0,11392,11392,11047,7304,66.10%,3412,2106,5637,5755,0
UT,3188,2449,2249,91.80%,1602,1189,348,49,538,1664,1489,35,1602,1214,1115,91.80%,709,34,177,553,1016,33,,1189,1189,838,737,87.90%,250,763,424,2,348,348,348,348,100.00%,111,348,0,0,49,49,49,49,100.00%,49,0,2035,2035,2007,1867,93.00%,802,261,879,1156,0
VA,7935,6637,5321,80.20%,3972,2855,1040,68,1457,4942,2966,27,3972,3083,2191,71.10%,1235,437,585,2063,1882,27,,2855,2855,2563,2279,88.90%,590,2007,848,0,1040,1040,923,783,84.80%,282,872,168,0,68,68,68,68,100.00%,68,0,3272,3272,3272,2256,68.90%,886,373,1138,2134,0
VI,151,105,92,87.60%,91,60,0,0,30,61,90,0,91,65,65,100.00%,0,0,10,41,50,0,,60,60,40,27,67.50%,20,20,40,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,59,59,59,59,100.00%,12,10,30,29,0
VT,1414,1264,231,18.30%,1067,341,0,6,316,858,548,8,1067,970,100,10.30%,49,0,254,702,365,0,,341,341,288,125,43.40%,62,156,177,8,0,0,0,0,0.00%,0,0,0,0,6,6,6,6,100.00%,6,0,549,549,549,324,59.00%,455,40,116,433,0
WA,18551,16823,14109,83.90%,6554,8107,3835,55,4078,11588,6830,133,6554,5644,4047,71.70%,957,381,840,2922,3536,96,,8107,8107,7334,6250,85.20%,1952,6017,2053,37,3835,3835,3790,3757,99.10%,1286,2649,1186,0,55,55,55,55,100.00%,55,0,9046,9046,9046,6685,73.90%,3038,778,2183,6863,0
WI,6701,5347,4763,89.10%,3375,3042,220,64,1292,3964,2697,40,3375,2515,2182,86.80%,338,333,560,1778,1565,32,,3042,3042,2548,2305,90.50%,673,2038,996,8,220,220,220,212,96.40%,59,148,72,0,64,64,64,64,100.00%,64,0,2784,2784,2775,2398,86.40%,295,268,893,1891,0
WV,1980,1674,1090,65.10%,1278,672,17,13,256,816,1159,5,1278,1086,676,62.20%,48,160,148,457,821,0,,672,672,558,388,69.50%,107,356,311,5,17,17,17,13,76.50%,1,3,14,0,13,13,13,13,100.00%,13,0,1206,1206,1206,806,66.80%,275,148,391,815,0
WY,905,688,483,70.20%,596,309,0,0,151,398,507,0,596,408,247,60.50%,0,16,69,229,367,0,,309,309,280,236,84.30%,82,169,140,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,198,198,198,20,10.10%,6,24,75,77,46
Total,446078,392069,316554,,238708,185332,19847,2191,74148,235653,206413,4012,238708,203944,161331,,20822,27233,35065,118107,117885,2716,,185332,185332,166772,135111,,33171,101843,82205,1284,19847,19847,19171,18053,,5912,15703,4132,12,2191,2191,2182,2059,,2191,0,284298,284298,281614,204518,,81666,39030,108065,176128,105

,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK,"1,877","1,453","1,213",83.50%,"1,191",686,0,258,743,"1,102",32,"1,191",840,688,81.90%,19,171,144,446,718,27,686,686,613,525,85.60%,114,297,384,5,0,0,0,0,0.00%,0,0,669,669,664,495,74.50%,61,71,215,454,0
AL,"4,297","3,752","1,807",48.20%,"2,016","2,247",34,478,"1,419","2,788",90,"2,016","1,700",944,55.50%,66,129,220,673,"1,253",90,"2,247","2,247","2,018",829,41.10%,258,746,"1,501",0,34,34,34,34,100.00%,34,0,"2,609","2,609","2,609","1,439",55.20%,594,354,919,"1,690",0
AR,"2,662","2,124","1,373",64.60%,"1,610","1,052",0,447,"1,037","1,610",15,"1,610","1,208",695,57.50%,0,154,284,653,942,15,"1,052","1,052",916,678,74.00%,163,384,668,0,0,0,0,0,0.00%,0,0,"1,069","1,069","1,059",642,60.60%,84,154,356,713,0
AZ,"9,238","7,556","6,511",86.20%,"4,271","4,927",40,"1,589","5,148","4,084",6,"4,271","3,060","2,568",83.90%,285,271,581,"1,915","2,356",0,"4,927","4,927","4,456","3,903",87.60%,"1,008","3,233","1,688",6,40,40,40,40,100.00%,40,0,"6,095","6,095","6,095","4,779",78.40%,857,673,"2,054","4,041",0
CA,"47,144","42,050","31,842",75.70%,"17,541","29,429",174,"6,408","22,244","24,549",351,"17,541","14,923","10,544",70.70%,"5,772","2,938","1,859","6,798","10,483",260,"29,429","29,429","26,953","21,124",78.40%,"4,549","15,446","13,892",91,174,174,174,174,100.00%,174,0,"50,057","50,057","49,763","29,809",59.90%,"12,966","6,945","21,722","28,335",0
CO,"6,536","5,960","5,444",91.30%,"2,495","4,016",25,"1,193","3,507","2,912",117,"2,495","2,021","1,804",89.30%,401,629,323,"1,180","1,299",16,"4,016","4,016","3,914","3,615",92.40%,870,"2,327","1,588",101,25,25,25,25,100.00%,25,0,"2,992","2,992","2,992","2,689",89.90%,"1,087",358,917,"2,075",0
CT,"3,539","3,261","3,026",92.80%,"2,158","1,381",0,487,"1,518","2,017",4,"2,158","1,961","1,903",97.00%,450,152,271,907,"1,247",4,"1,381","1,381","1,300","1,123",86.40%,216,611,770,0,0,0,0,0,0.00%,0,0,"5,263","5,263","5,215","3,780",72.50%,"1,974",730,"2,147","3,116",0
DC,"6,243","6,161","5,312",86.20%,"3,317","2,926",0,932,"2,882","3,341",20,"3,317","3,235","3,108",96.10%,"1,174",0,330,"1,058","2,243",16,"2,926","2,926","2,926","2,204",75.30%,602,"1,824","1,098",4,0,0,0,0,0.00%,0,0,"6,452","6,452","6,417","3,896",60.70%,"5,014",956,"3,214","3,238",0
DE,"1,239","1,166",603,51.70%,529,700,10,200,610,629,0,529,456,289,63.40%,100,147,68,204,325,0,700,700,700,304,43.40%,132,406,294,.,10,10,10,10,100.00%,10,0,508,508,508,297,58.50%,220,25,73,435,0
FL,"23,272","20,589","16,088",78.10%,"10,162","12,932",178,"2,853","9,613","13,533",126,"10,162","8,337","6,879",82.50%,747,"1,275","1,087","3,914","6,162",86,"12,932","12,932","12,074","9,031",74.80%,"1,766","5,699","7,193",40,178,178,178,178,100.00%,178,0,"13,892","13,892","13,584","9,092",66.90%,"3,300","2,101","5,680","8,142",70
GA,"9,534","7,891","6,129",77.70%,"4,668","4,846",20,"1,422","4,345","5,134",55,"4,668","3,797","2,644",69.60%,227,292,560,"1,677","2,962",29,"4,846","4,846","4,094","3,485",85.10%,862,"2,668","2,152",26,20,20,0,0,0.00%,20,0,"4,822","4,822","4,796","4,089",85.30%,"1,302",974,"1,994","2,828",0
GU,259,206,194,94.20%,109,150,0,59,181,66,12,109,66,54,81.80%,0,7,24,63,34,12,150,150,140,140,100.00%,35,118,32,.,0,0,0,0,0.00%,0,0,130,130,130,57,43.80%,68,17,69,61,0
HI,"4,230","4,021","3,998",99.40%,"1,490","2,715",25,780,"2,939","1,291",0,"1,490","1,319","1,296",98.30%,0,64,218,809,681,0,"2,715","2,715","2,677","2,677",100.00%,562,"2,130",585,0,25,25,25,25,100.00%,25,0,"1,263","1,263","1,263","1,245",98.60%,659,69,191,"1,072",0
IA,"3,627","2,932","2,496",85.10%,"1,540","2,087",0,651,"2,090","1,527",10,"1,540","1,084",861,79.40%,45,27,208,684,856,0,"2,087","2,087","1,848","1,635",88.50%,443,"1,406",671,10,0,0,0,0,0.00%,0,0,"1,046","1,046","1,046",757,72.40%,195,160,491,555,0
ID,"1,795","1,438",912,63.40%,927,868,0,303,948,831,16,927,632,326,51.60%,0,125,149,407,504,16,868,868,806,586,72.70%,154,541,327,0,0,0,0,0,0.00%,0,0,670,670,661,521,78.80%,258,103,316,354,0
IL,"13,246","11,828","9,035",76.40%,"5,789","7,355",102,"2,008","6,631","6,442",173,"5,789","4,969","3,058",61.50%,671,"1,160",474,"1,678","4,041",70,"7,355","7,355","6,757","5,875",86.90%,"1,534","4,953","2,299",103,102,102,102,102,100.00%,102,0,"11,517","11,517","11,517","9,066",78.70%,"2,827","1,495","4,039","7,466",12
IN,"7,389","5,944","3,430",57.70%,"4,058","3,306",25,"1,204","3,921","3,404",64,"4,058","3,115","1,464",47.00%,378,321,585,"2,013","1,987",58,"3,306","3,306","2,804","1,941",69.20%,619,"1,908","1,392",6,25,25,25,25,100.00%,25,0,"2,605","2,605","2,597","2,175",83.80%,488,299,"1,068","1,537",0
KS,"3,085","2,492","1,220",49.00%,"1,727","1,338",20,448,"1,548","1,526",11,"1,727","1,254",515,41.10%,115,133,208,747,980,0,"1,338","1,338","1,218",685,56.20%,240,801,526,11,20,20,20,20,100.00%,20,0,"1,203","1,203","1,203",902,75.00%,414,97,300,903,0
KY,"4,547","3,838","2,989",77.90%,"2,224","2,313",10,671,"1,969","2,490",88,"2,224","1,757","1,321",75.20%,32,139,231,720,"1,430",74,"2,313","2,313","2,071","1,658",80.10%,440,"1,249","1,050",14,10,10,10,10,100.00%,10,0,"3,507","3,507","3,219","2,412",74.90%,596,599,"1,779","1,728",0
LA,"5,041","4,380","3,335",76.10%,"2,025","2,979",37,638,"2,064","2,954",23,"2,025","1,545","1,115",72.20%,59,156,211,764,"1,250",11,"2,979","2,979","2,798","2,183",78.00%,427,"1,300","1,667",12,37,37,37,37,100.00%,37,0,"3,791","3,791","3,746","3,180",84.90%,"1,106",406,"1,155","2,636",0
MA,"14,782","13,729","12,279",89.40%,"10,188","4,540",54,"3,064","9,219","5,507",56,"10,188","9,723","8,962",92.20%,299,"3,035","2,327","7,351","2,810",27,"4,540","4,540","3,952","3,264",82.60%,737,"1,868","2,643",29,54,54,54,53,98.10%,54,0,"10,887","10,887","10,795","7,907",73.20%,"3,983","1,041","2,820","8,067",0
MD,"5,769","5,329","4,418",82.90%,"2,786","2,879",104,794,"2,593","3,176",0,"2,786","2,470","2,077",84.10%,814,722,313,"1,206","1,580",0,"2,879","2,879","2,755","2,237",81.20%,481,"1,387","1,492",0,104,104,104,104,100.00%,104,0,"6,260","6,260","6,260","5,448",87.00%,892,"1,186","3,380","2,880",0
ME,"2,675","2,328","2,202",94.60%,"1,089","1,571",15,489,"1,427","1,231",17,"1,089",940,840,89.40%,15,3,156,442,630,17,"1,571","1,571","1,373","1,347",98.10%,333,985,586,.,15,15,15,15,100.00%,15,0,"2,075","2,075","2,045","1,974",96.50%,179,393,789,"1,286",0
MI,"11,827","9,639","8,643",89.70%,"5,938","5,846",43,"1,938","6,144","5,558",125,"5,938","4,650","4,176",89.80%,696,362,783,"2,592","3,259",87,"5,846","5,846","4,946","4,424",89.40%,"1,155","3,552","2,256",38,43,43,43,43,100.00%,43,0,"7,458","7,458","7,294","6,584",90.30%,"1,181","1,330","3,587","3,871",0
MN,"6,879","6,053","4,495",74.30%,"3,597","3,272",10,"1,562","4,428","2,397",54,"3,597","2,884","1,934",67.10%,93,474,648,"2,025","1,541",31,"3,272","3,272","3,159","2,551",80.80%,914,"2,403",846,23,10,10,10,10,100.00%,10,0,"9,459","9,459","9,412","7,560",80.30%,"2,933","1,572","4,923","4,519",17
MO,"8,253","6,406","4,131",64.50%,"4,488","3,710",55,"1,649","4,116","4,042",95,"4,488","3,004","1,640",54.60%,190,"1,165",974,"2,089","2,314",85,"3,710","3,710","3,347","2,455",73.30%,675,"2,027","1,673",10,55,55,55,36,65.50%,55,0,"4,448","4,448","4,448","3,931",88.40%,603,"1,174","2,460","1,988",0
MS,"1,542","1,136",819,72.10%,852,690,0,184,777,682,83,852,494,364,73.70%,0,31,116,484,341,27,690,690,642,455,70.90%,68,293,341,56,0,0,0,0,0.00%,0,0,358,358,358,333,93.00%,53,15,40,318,0
MT,"1,411","1,094",381,34.80%,687,724,0,241,745,665,1,687,494,72,14.60%,30,121,83,297,389,1,724,724,600,309,51.50%,158,448,276,0,0,0,0,0,0.00%,0,0,510,510,510,510,100.00%,68,56,132,378,0
NC,"10,071","8,678","6,878",79.30%,"5,233","4,825",13,"1,224","4,190","5,829",52,"5,233","4,149","3,383",81.50%,472,251,475,"1,711","3,477",45,"4,825","4,825","4,529","3,495",77.20%,749,"2,479","2,339",7,13,13,0,0,0.00%,13,0,"4,198","4,198","4,192","3,564",85.00%,"1,023",703,"1,879","2,319",0
ND,724,561,545,97.10%,567,157,0,97,302,422,0,567,467,451,96.60%,0,33,74,207,360,0,157,157,94,94,100.00%,23,95,62,.,0,0,0,0,0.00%,0,0,496,496,496,375,75.60%,111,64,147,349,0
NE,"3,667","3,095","2,729",88.20%,"1,688","1,979",0,571,"1,870","1,721",76,"1,688","1,348","1,196",88.70%,0,383,174,733,901,54,"1,979","1,979","1,747","1,533",87.80%,397,"1,137",820,22,0,0,0,0,0.00%,0,0,822,822,822,454,55.20%,151,111,327,495,0
NH,"1,353","1,177","1,062",90.20%,675,669,9,257,777,573,3,675,527,503,95.40%,133,13,105,316,356,3,669,669,641,550,85.80%,152,461,208,.,9,9,9,9,100.00%,9,0,878,878,878,695,79.20%,208,150,451,427,0
NJ,"7,882","6,862","6,415",93.50%,"4,826","3,036",20,"1,402","4,039","3,752",91,"4,826","4,222","3,897",92.30%,120,"5,530",720,"2,100","2,694",32,"3,036","3,036","2,620","2,498",95.30%,682,"1,939","1,038",59,20,20,20,20,100.00%,20,0,"4,616","4,616","4,573","3,557",77.80%,"1,178",495,"1,393","3,223",0
NM,"2,545","1,850",828,44.80%,"1,418","1,127",0,318,"1,358","1,115",72,"1,418",973,300,30.80%,500,69,101,650,724,44,"1,127","1,127",877,528,60.20%,217,708,391,28,0,0,0,0,0.00%,0,0,"1,684","1,684","1,684",999,59.30%,456,242,643,"1,041",0
NV,"4,630","4,177","2,737",65.50%,"2,851","1,754",25,432,"1,353","3,196",81,"2,851","2,464","1,425",57.80%,173,361,213,836,"1,976",39,"1,754","1,754","1,688","1,287",76.20%,219,517,"1,195",42,25,25,25,25,100.00%,25,0,"2,499","2,499","2,499","1,272",50.90%,778,174,546,"1,953",0
